Year of Year Date	Adjusted for Inflation Notes	Adjusted for Inflation Title	Format	Metric	Year	Value (For Charting)	Adjusted for Inflation Flag	Year Date	Format Value # (Billion)	Format Value # (Million)	Total Value # (Billion)	Total Value # (Million)	Total Value For Year	Value (Actual)	Year (copy)
1996			Vinyl Single	Value	1996	47.5		1996		$47.5M	$12.5B		$12533.8B	47.5	1996
2008			Cassette	Value	2008	0.9		2008		$0.9M	$8.8B		$8776.8B	0.9	2008
1987			Cassette	Value	1987	2959.7		1987	$3.0B		$5.6B		$5564.0B	2959.7	1987
2018			Other Digital	Value	2018	19.839574865		2018		$19.8M	$9.7B		$9738.2B	19.839574865	2018
2007			Kiosk	Value	2007	2.6		2007		$2.6M	$10.7B		$10650.9B	2.6	2007
1976			LP/EP	Value	1976	1663		1976	$1.7B		$2.7B		$2737.1B	1663	1976
2013			SACD	Value	2013	0.9783826		2013		$1.0M	$7.0B		$7035.1B	0.9783826	2013
2019			Limited Tier Paid Subscription	Value	2019	638.226190575		2019		$638.2M	$11.1B		$11130.4B	638.226190575	2019
1986			CD	Value	1986	930.1		1986		$930.1M	$4.6B		$4640.7B	930.1	1986
2007			Music Video (Physical)	Value	2007	484.9		2007		$484.9M	$10.7B		$10650.9B	484.9	2007
2019			Music Video (Physical)	Value	2019	25.837151083		2019		$25.8M	$11.1B		$11130.4B	25.837151083	2019
2005			Download Single	Value	2005	363.3		2005		$363.3M	$12.3B		$12289.9B	363.3	2005
1977			LP/EP	Value	1977	2195.1		1977	$2.2B		$3.5B		$3500.8B	2195.1	1977
1991			Cassette Single	Value	1991	230.4		1991		$230.4M	$7.8B		$7834.2B	230.4	1991
2013			Download Single	Value	2013	1573.420534445		2013	$1.6B		$7.0B		$7035.1B	1573.420534445	2013
2018			Limited Tier Paid Subscription	Value	2018	740.513270408		2018		$740.5M	$9.7B		$9738.2B	740.513270408	2018
2009			SoundExchange Distributions	Value	2009	155.5		2009		$155.5M	$7.8B		$7831.0B	155.5	2009
2011			Vinyl Single	Value	2011	4.6		2011		$4.6M	$7.1B		$7135.6B	4.6	2011
2019			LP/EP	Value	2019	479.528431092		2019		$479.5M	$11.1B		$11130.4B	479.528431092	2019
2007			Download Music Video	Value	2007	28.2		2007		$28.2M	$10.7B		$10650.9B	28.2	2007
1997			Music Video (Physical)	Value	1997	323.9		1997		$323.9M	$12.2B		$12236.8B	323.9	1997
1998			CD Single	Value	1998	213.2		1998		$213.2M	$13.7B		$13711.2B	213.2	1998
2005			LP/EP	Value	2005	14.2		2005		$14.2M	$12.3B		$12289.9B	14.2	2005
2011			CD Single	Value	2011	3.5		2011		$3.5M	$7.1B		$7135.6B	3.5	2011
1990			CD	Value	1990	3451.6		1990	$3.5B		$7.5B		$7541.1B	3451.6	1990
1987			LP/EP	Value	1987	793.1		1987		$793.1M	$5.6B		$5564.0B	793.1	1987
1976			Other Tapes	Value	1976	5.1		1976		$5.1M	$2.7B		$2737.1B	5.1	1976
1974			LP/EP	Value	1974	1356		1974	$1.4B		$2.2B		$2199.7B	1356	1974
1986			Cassette	Value	1986	2499.5		1986	$2.5B		$4.6B		$4640.7B	2499.5	1986
1999			Vinyl Single	Value	1999	27.9		1999		$27.9M	$14.6B		$14584.7B	27.9	1999
2010			SoundExchange Distributions	Value	2010	249.2		2010		$249.2M	$7.0B		$7013.8B	249.2	2010
2016			SACD	Value	2016	1.20686148		2016		$1.2M	$7.5B		$7491.7B	1.20686148	2016
2007			CD	Value	2007	7452.3		2007	$7.5B		$10.7B		$10650.9B	7452.3	2007
2010			Ringtones & Ringbacks	Value	2010	448		2010		$448.0M	$7.0B		$7013.8B	448	2010
1991			Vinyl Single	Value	1991	63.9		1991		$63.9M	$7.8B		$7834.2B	63.9	1991
2006			CD	Value	2006	9372.6		2006	$9.4B		$11.8B		$11759.5B	9372.6	2006
1996			CD	Value	1996	9934.7		1996	$9.9B		$12.5B		$12533.8B	9934.7	1996
2004			Cassette	Value	2004	23.7		2004		$23.7M	$12.3B		$12345.1B	23.7	2004
2013			Music Video (Physical)	Value	2013	106.283137789		2013		$106.3M	$7.0B		$7035.1B	106.283137789	2013
2014			Download Single	Value	2014	1355.331251323		2014	$1.4B		$6.7B		$6694.7B	1355.331251323	2014
2007			SACD	Value	2007	3.6		2007		$3.6M	$10.7B		$10650.9B	3.6	2007
1996			Cassette Single	Value	1996	189.3		1996		$189.3M	$12.5B		$12533.8B	189.3	1996
2017			SACD	Value	2017	0.85057856		2017		$0.9M	$8.5B		$8503.2B	0.85057856	2017
2016			CD	Value	2016	1130.764650638		2016	$1.1B		$7.5B		$7491.7B	1130.764650638	2016
2005			Music Video (Physical)	Value	2005	602.2		2005		$602.2M	$12.3B		$12289.9B	602.2	2005
1990			CD Single	Value	1990	6		1990		$6.0M	$7.5B		$7541.1B	6	1990
2015			CD	Value	2015	1444.993193529		2015	$1.4B		$6.7B		$6710.8B	1444.993193529	2015
2016			Music Video (Physical)	Value	2016	56.922902813		2016		$56.9M	$7.5B		$7491.7B	56.922902813	2016
2017			Synchronization	Value	2017	232.086522899		2017		$232.1M	$8.5B		$8503.2B	232.086522899	2017
1994			Vinyl Single	Value	1994	47.2		1994		$47.2M	$12.1B		$12068.0B	47.2	1994
2011			CD	Value	2011	3100.7		2011	$3.1B		$7.1B		$7135.6B	3100.7	2011
1990			LP/EP	Value	1990	86.5		1990		$86.5M	$7.5B		$7541.1B	86.5	1990
2017			Other Digital	Value	2017	16.885109868		2017		$16.9M	$8.5B		$8503.2B	16.885109868	2017
1975			8 - Track	Value	1975	583		1975		$583.0M	$2.4B		$2388.5B	583	1975
2020			Other Digital	Value	2020	18.890264246		2020		$18.9M	$12.2B		$12153.4B	18.890264246	2020
2000			Music Video (Physical)	Value	2000	281.9		2000		$281.9M	$14.3B		$14323.7B	281.9	2000
2013			SoundExchange Distributions	Value	2013	590.4		2013		$590.4M	$7.0B		$7035.1B	590.4	2013
2018			Download Single	Value	2018	489.866220230		2018		$489.9M	$9.7B		$9738.2B	489.866220230	2018
1978			Cassette	Value	1978	449.8		1978		$449.8M	$4.1B		$4131.4B	449.8	1978
2018			LP/EP	Value	2018	419.223946961		2018		$419.2M	$9.7B		$9738.2B	419.223946961	2018
2004			Download Single	Value	2004	138		2004		$138.0M	$12.3B		$12345.1B	138	2004
1985			Cassette	Value	1985	2411.5		1985	$2.4B		$4.4B		$4362.5B	2411.5	1985
2016			Paid Subscription	Value	2016	2186.442205817		2016	$2.2B		$7.5B		$7491.7B	2186.442205817	2016
2017			Other Ad-Supported Streaming	Value	2017	223.932979603		2017		$223.9M	$8.5B		$8503.2B	223.932979603	2017
1980			8 - Track	Value	1980	527		1980		$527.0M	$3.7B		$3682.0B	527	1980
1994			Cassette Single	Value	1994	274.9		1994		$274.9M	$12.1B		$12068.0B	274.9	1994
2006			Kiosk	Value	2006	1.9		2006		$1.9M	$11.8B		$11759.5B	1.9	2006
2020			DVD Audio	Value	2020	1.843745194		2020		$1.8M	$12.2B		$12153.4B	1.843745194	2020
2012			DVD Audio	Value	2012	0.183106992		2012		$0.2M	$7.0B		$7015.7B	0.183106992	2012
2014			CD	Value	2014	1776.249323795		2014	$1.8B		$6.7B		$6694.7B	1776.249323795	2014
2018			Download Album	Value	2018	495.258335623		2018		$495.3M	$9.7B		$9738.2B	495.258335623	2018
2020			Music Video (Physical)	Value	2020	27.426624454		2020		$27.4M	$12.2B		$12153.4B	27.426624454	2020
2015			Music Video (Physical)	Value	2015	70.434363958		2015		$70.4M	$6.7B		$6710.8B	70.434363958	2015
2016			LP/EP	Value	2016	355.430890954		2016		$355.4M	$7.5B		$7491.7B	355.430890954	2016
2014			SoundExchange Distributions	Value	2014	773.4		2014		$773.4M	$6.7B		$6694.7B	773.4	2014
2016			Other Ad-Supported Streaming	Value	2016	70.635184166		2016		$70.6M	$7.5B		$7491.7B	70.635184166	2016
1992			Cassette	Value	1992	3116.3		1992	$3.1B		$9.0B		$9024.0B	3116.3	1992
